sn,FID,agf,plotID,transect,County,genus,species,dbh,height,canopyd,latitude,longitude,altitude,accuracy
703,1365,cropland_agroforestry,154,4,Murang'a,Musa,acuminata,25,180,100,-0.6725219,36.943602,1829.2,4.68
704,1364,cropland_agroforestry,154,4,Murang'a,Musa,acuminata,55,650,250,-0.6724845,36.9435149,1828.7,4.92
705,2412,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,60,1000,330,-0.6724642,36.9436362,1829.2,4.98
706,1363,cropland_agroforestry,154,4,Murang'a,Musa,acuminata,60,900,300,-0.6724507,36.943507,1828.8,4.85
707,2221,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,25,1200,200,-0.6724263,36.9435879,1788.3,5
708,2220,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,10,450,100,-0.6724207,36.9434204,1788.8,4.68
709,1486,cropland_agroforestry,154,4,Murang'a,Musa,acuminata,50,250,120,-0.67234,36.9434583,1828.8,4.1
710,2534,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,35,1300,600,-0.672272,36.9440752,1857.9,4.3
711,2410,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,32,830,80,-0.6722482,36.9434367,1827.7,4.4
712,2533,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,32,1200,500,-0.6722403,36.9441705,1857.7,3.55
713,2409,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,30,930,100,-0.6722299,36.9434611,1827.1,4.98
714,2530,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,15,900,600,-0.6722172,36.9437397,1855.1,4.64
715,2219,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,75,750,400,-0.6721139,36.9435911,1788.7,4.98
716,2213,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,40,900,400,-0.6720934,36.9435349,1806.3,5
717,1485,cropland_agroforestry,154,4,Murang'a,Musa,acuminata,12,130,100,-0.672027,36.9434149,1788.8,4.95
718,1528,cropland_agroforestry,154,4,Murang'a,Acacia,mearnsii,14,450,200,-0.6719907,36.9436868,1832.9,4.72
719,2218,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,50,700,400,-0.6719811,36.9434726,1788.6,4.84
720,2408,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,15,530,140,-0.6719041,36.9433923,1827.5,4
721,2407,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,40,1000,240,-0.6719028,36.9433814,1827.4,4.1
722,1484,cropland_agroforestry,154,4,Murang'a,Musa,acuminata,20,180,90,-0.6718934,36.9435572,1788.7,4.84
723,2216,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,18,600,250,-0.6718397,36.9435097,1788.6,4.78
724,2406,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,45,850,280,-0.6718237,36.9434038,1826.8,4.42
725,7042,cropland_agroforestry,176,2,Nyamira,Eucalyptus,robusta,18,700,250,-0.6718138,34.8333371,1796.3,4.04
726,2217,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,25,800,350,-0.6717932,36.9434847,1788.6,4.68
727,2405,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,40,1100,150,-0.6717841,36.9433913,1826.4,3.65
728,2214,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,10,350,150,-0.6717566,36.9434408,1788.9,4.96
729,2215,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,15,650,200,-0.6716916,36.9435551,1788.8,5
730,7041,cropland_agroforestry,176,2,Nyamira,Eucalyptus,robusta,26,800,180,-0.6716543,34.8334187,1793.6,4.58
731,6722,cropland_agroforestry,176,2,Nyamira,Grevillea,robusta,20,450,90,-0.6716298,34.8335328,1794,4.04
732,6721,cropland_agroforestry,176,2,Nyamira,Grevillea,robusta,30,850,200,-0.6715716,34.8332585,1793.8,4
733,2635,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,20,650,180,-0.6715553,36.9437183,1832.8,5
734,2636,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,27,800,320,-0.6715335,36.9436701,1832.8,4.9
735,1532,cropland_agroforestry,154,4,Murang'a,Acacia,mearnsii,48,900,420,-0.6715245,36.943783,1833.3,4.98
736,2634,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,40,900,400,-0.6715217,36.9438,1833.3,4.9
737,2404,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,18,720,200,-0.6715167,36.9434048,1825.8,4.38
738,6744,cropland_agroforestry,176,2,Nyamira,Grevillea,robusta,15,630,230,-0.6715127,34.8331894,1780.6,5
739,2402,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,22,550,250,-0.6715117,36.943395,1826.5,5
740,2536,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,45,1500,600,-0.6715058,36.9437873,1859.6,4.6
741,1541,cropland_agroforestry,154,4,Murang'a,Acacia,mearnsii,20,800,600,-0.6715049,36.9439119,1857.8,4.566
742,6723,cropland_agroforestry,176,2,Nyamira,Grevillea,robusta,42,1300,350,-0.671495,34.8335333,1793.9,5
743,1542,cropland_agroforestry,154,4,Murang'a,Acacia,mearnsii,10,700,600,-0.6714684,36.9439688,1858.2,4.9
744,1533,cropland_agroforestry,154,4,Murang'a,Acacia,mearnsii,5,200,20,-0.6714683,36.9437933,1832.6,5
745,6670,cropland_agroforestry,176,2,Nyamira,Grevillea,robusta,5,100,50,-0.6714647,34.8328208,1779.7,4.48
746,1530,cropland_agroforestry,154,4,Murang'a,Acacia,mearnsii,28,800,400,-0.6714569,36.943904,1833.2,4.85
747,1531,cropland_agroforestry,154,4,Murang'a,Acacia,mearnsii,34,750,320,-0.6714521,36.9438691,1833.4,5
748,2403,cropland_agroforestry,154,4,Murang'a,Grevillea,robusta,40,900,220,-0.6714378,36.9433522,1826.6,4.825
749,6672,cropland_agroforestry,176,2,Nyamira,Grevillea,robusta,14,300,100,-0.6714373,34.8330448,1779.2,4.86
