uid,species,latitude,longitude,occurrence,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,slope,aspect,hillshade,twi
17245,Musa,35.39462629,0.097326635,0,18.29999924,13,40.59999847,681.2000122,36,4.099999905,31.89999962,11,28.5,27,10.60000038,469,82,2,67.09999847,220,19,19,209,652,0.15838602,72.87619,0.7061901,6.5840917
17246,Musa,35.39512952,0.013512358,0,18.79999924,12.80000019,41.5,656.4000244,35.79999924,4.900000095,30.89999962,11.69999981,28.39999962,27.10000038,11.30000019,462,83,1,69.30000305,221,17,19,211,530,4.106891,244.96295,0.7225806,3.7324584
17247,Musa,35.40895151,-0.055079838,0,19.89999962,12.30000019,42.5,594,35.59999847,6.599999905,29,13.5,28.20000076,27.5,13.10000038,377,66,1,67.30000305,173,13,17,170,164,0.7130751,45.768368,0.70693403,7.4773865
17248,Musa,35.35472612,0.11627716,0,19,13.30000019,41.59999847,670.7999878,36.59999847,4.5,32.09999847,11.80000019,28.89999962,27.5,11.39999962,442,81,1,68.40000153,211,17,21,200,466,0.65091777,168.26646,0.7003445,5.86385
17249,Musa,35.38108357,0.005210613,0,19.10000038,12.80000019,41.90000153,640.7999878,35.79999924,5.300000191,30.5,12.30000019,28.39999962,27.29999924,11.80000019,442,81,1,70.30000305,212,15,18,205,430,4.9028606,223.85219,0.7033089,3.8422575
17250,Musa,35.37540885,0.051391622,0,18.20000076,13.10000038,41.09999847,680.7000122,36,4.099999905,31.89999962,10.89999962,28.39999962,27,10.5,464,80,2,66.09999847,215,20,20,205,678,2.1437209,351.6319,0.7278378,3.9783645
17251,Musa,35.40026723,0.080623809,0,18.39999962,12.80000019,40.70000076,671.2999878,35.79999924,4.400000095,31.39999962,11.19999981,28.39999962,27,10.80000019,472,84,1,68.40000153,225,18,18,212,607,3.754525,295.72882,0.7492974,3.4169796
17252,Musa,35.31266532,0.169664343,0,19.10000038,13.39999962,41.09999847,683.4000244,37.09999847,4.5,32.59999847,11.80000019,29.29999924,27.79999924,11.30000019,426,77,1,66.59999847,199,18,18,189,468,0.10843075,315.7921,0.7084436,7.6561637
17253,Musa,35.39315866,0.013958906,0,18.79999924,12.80000019,41.5,656.4000244,35.79999924,4.900000095,30.89999962,11.69999981,28.39999962,27.10000038,11.30000019,462,83,1,69.30000305,221,17,19,211,530,4.106891,244.96295,0.7225806,3.7324584
17254,Musa,35.33832205,0.118267784,0,19,13.39999962,41.40000153,673.0999756,36.79999924,4.5,32.29999924,11.89999962,29,27.60000038,11.39999962,435,80,1,68.30000305,207,17,17,196,459,0.08821901,254.67386,0.70764494,11.019454
17255,Musa,35.38014429,0.049150023,0,18.29999924,13.10000038,41.20000076,678,36,4.199999809,31.79999924,11,28.39999962,27,10.60000038,465,81,2,66,216,20,20,206,663,0.6719466,291.72366,0.7146758,5.1389046
17256,Musa,35.4121782,-0.052112058,0,19.89999962,12.30000019,42.5,594,35.59999847,6.599999905,29,13.5,28.20000076,27.5,13.10000038,377,66,1,67.30000305,173,13,17,170,164,0.7130751,45.768368,0.70693403,7.4773865
17257,Musa,35.41310843,0.039064736,0,19.20000076,12.69999981,41.70000076,637.4000244,35.70000076,5.400000095,30.29999924,12.30000019,28.39999962,27.29999924,11.89999962,439,80,1,69.59999847,210,15,19,202,400,5.3907785,65.27092,0.6809636,3.7468746
17258,Musa,35.31208886,0.197378489,0,19.10000038,13.19999981,40.90000153,681.7999878,37,4.599999905,32.40000153,11.80000019,29.29999924,27.79999924,11.39999962,425,77,1,66.40000153,198,18,18,188,471,0.29155257,311.79504,0.71069014,7.6786485
17259,Musa,35.39377829,0.035249062,0,18.70000076,12.89999962,41.59999847,659,35.79999924,4.800000191,31,11.69999981,28.39999962,27.10000038,11.30000019,465,84,1,69.30000305,223,17,17,212,536,7.2944174,21.48978,0.73719835,3.1543067
17260,Musa,35.35044068,0.099672289,0,19,13.30000019,41.70000076,668.5,36.59999847,4.599999905,32,12,28.89999962,27.5,11.39999962,443,81,1,68.40000153,211,17,21,200,465,0.91119736,171.64735,0.6979953,6.443723
17261,Musa,35.36144027,0.062134139,0,18.70000076,13.30000019,41.59999847,673.7999878,36.29999924,4.400000095,31.89999962,11.5,28.70000076,27.29999924,11,461,83,1,68.5,220,18,21,208,563,4.709723,132.33423,0.64672315,3.5949545
17262,Musa,35.36466686,0.025035718,0,19,13,41.90000153,656.2000122,36,4.900000095,31.10000038,11.89999962,28.60000038,27.29999924,11.5,451,82,1,69.69999695,216,16,19,206,491,4.7009826,263.46405,0.74077517,4.5776496
17263,Musa,35.39124677,0.019511266,0,18.39999962,13,41.29999924,670.7999878,35.79999924,4.400000095,31.39999962,11.19999981,28.29999924,27,10.80000019,464,81,2,66.5,217,20,20,207,645,3.9238873,263.75534,0.73574,3.3727262
17264,Musa,35.30260263,0.181615821,0,19.10000038,13.30000019,41,683.2999878,37.09999847,4.599999905,32.5,11.80000019,29.29999924,27.79999924,11.39999962,426,77,1,66.59999847,199,18,18,189,471,0.18404944,332.47824,0.7092697,6.8393865
17265,Musa,35.35394283,0.114192498,0,19,13.30000019,41.59999847,670.7999878,36.59999847,4.5,32.09999847,11.80000019,28.89999962,27.5,11.39999962,442,81,1,68.40000153,211,17,21,200,466,0.65091777,168.26646,0.7003445,5.86385
17266,Musa,35.28015375,0.228176641,0,18.70000076,13.10000038,40.09999847,702.7000122,37.09999847,4.300000191,32.79999924,11.19999981,29.29999924,27.79999924,10.80000019,433,74,1,64.19999695,196,19,19,187,619,2.7876542,302.5268,0.73984814,3.7153842
17267,Musa,35.42884875,0.034908827,0,19.5,12.39999962,41.90000153,616.0999756,35.5,6,29.5,12.89999962,28.20000076,27.29999924,12.39999962,405,74,1,70.30000305,192,12,16,188,296,3.3724754,40.565197,0.7090987,5.9669185
17268,Musa,35.40070099,0.066284146,0,19.10000038,12.60000038,41.59999847,643.7999878,35.70000076,5.300000191,30.39999962,12.19999981,28.39999962,27.29999924,11.69999981,445,81,1,69.80000305,214,15,19,203,419,3.9217641,320.15405,0.7536175,5.3191795
17269,Musa,35.41156993,0.003143122,0,18.39999962,12.80000019,41.20000076,665.0999756,35.59999847,4.599999905,31,11.19999981,28.20000076,26.89999962,10.80000019,457,82,1,69,217,17,17,209,628,6.3159237,271.4046,0.759152,2.894238
17270,Musa,35.29588398,0.2197881,0,18.79999924,13.19999981,40.29999924,696.9000244,37.09999847,4.400000095,32.70000076,11.39999962,29.39999962,27.79999924,11,434,76,1,65.19999695,199,19,19,189,569,1.165519,323.14273,0.72119856,4.58807
17271,Musa,35.41569723,0.050843274,0,19.10000038,12.60000038,41.5,640.9000244,35.59999847,5.300000191,30.29999924,12.19999981,28.39999962,27.20000076,11.69999981,444,81,1,69.69999695,213,15,19,203,419,2.2572787,294.60898,0.7326635,3.9266965
17272,Musa,35.31042314,0.174740803,0,19.10000038,13.39999962,41.09999847,683.4000244,37.09999847,4.5,32.59999847,11.80000019,29.29999924,27.79999924,11.30000019,426,77,1,66.59999847,199,18,18,189,468,0.10843075,315.7921,0.7084436,7.6561637
17273,Musa,35.31371959,0.160236708,0,19.10000038,13.39999962,41.09999847,684.2999878,37.09999847,4.5,32.59999847,11.80000019,29.29999924,27.79999924,11.30000019,428,78,1,66.5,200,19,19,190,467,0.110126056,309.43494,0.7084582,7.3529677
17274,Musa,35.32909021,0.137346462,0,19,13.39999962,41.40000153,678.5,36.90000153,4.5,32.40000153,11.80000019,29.20000076,27.70000076,11.39999962,433,79,1,67.90000153,205,17,17,194,462,0.12264292,292.3491,0.708502,10.273838
17275,Musa,35.32772929,0.184621269,0,19.10000038,13.19999981,40.90000153,679.7000122,36.90000153,4.5,32.40000153,11.80000019,29.20000076,27.70000076,11.39999962,430,78,1,67.19999695,202,17,17,192,468,0.111003175,290.49353,0.70835197,10.851592
17276,Musa,35.37017527,0.077553041,0,18.79999924,13.19999981,41.70000076,667.7999878,36.20000076,4.5,31.70000076,11.69999981,28.70000076,27.29999924,11.19999981,460,83,1,68.59999847,220,18,21,208,521,2.7330537,131.67953,0.6726423,4.6514864
17277,Musa,35.38160354,0.059349555,0,18.29999924,13.10000038,41,681.5999756,36.09999847,4.099999905,32,10.89999962,28.39999962,27,10.60000038,464,80,2,66.09999847,216,20,20,205,666,2.7397795,69.76704,0.69213885,3.732734
17278,Musa,35.41416919,-0.054347683,0,19.89999962,12.30000019,42.5,594,35.59999847,6.599999905,29,13.5,28.20000076,27.5,13.10000038,377,66,1,67.30000305,173,13,17,170,164,0.7130751,45.768368,0.70693403,7.4773865
17279,Musa,35.34608415,0.12298149,0,19,13.39999962,41.5,671.2000122,36.70000076,4.5,32.20000076,12,29,27.60000038,11.39999962,436,80,1,68,207,17,17,196,459,0.15037598,190.87207,0.70606315,9.120895
17280,Musa,35.41280994,0.07924898,0,18.5,12.60000038,40.90000153,663,35.59999847,4.699999809,30.89999962,11.5,28.29999924,27,11,474,85,1,69,227,17,17,215,562,3.6285143,317.3818,0.75040144,3.4512126
17281,Musa,35.36379064,0.094410391,0,18.89999962,13.30000019,41.59999847,669.2999878,36.5,4.5,32,11.80000019,28.89999962,27.39999962,11.30000019,450,82,1,68.69999695,215,17,21,204,485,1.1002861,167.08942,0.6954727,6.1497583
17282,Musa,35.37351895,0.029136743,0,18.89999962,13,42,656.5999756,36,4.900000095,31.10000038,11.80000019,28.60000038,27.29999924,11.5,458,83,1,69.59999847,220,16,20,209,506,4.6370983,231.76987,0.71153104,3.6105638
17283,Musa,35.35031119,0.116673276,0,19,13.30000019,41.59999847,670.7000122,36.59999847,4.5,32.09999847,11.89999962,28.89999962,27.5,11.39999962,439,81,1,68.19999695,209,17,21,198,463,0.4712804,160.05795,0.7018141,5.899119
17284,Musa,35.32678439,0.119113045,0,19,13.39999962,41.5,675.2000122,36.79999924,4.5,32.29999924,11.80000019,29,27.60000038,11.39999962,434,80,1,68.09999847,206,17,17,196,459,0.10656043,282.63965,0.7082164,11.185109
17285,Musa,35.39248337,-0.009795479,0,19.20000076,12.60000038,42,631.0999756,35.59999847,5.5,30.10000038,12.39999962,28.29999924,27.20000076,12,430,79,1,70.40000153,205,15,17,200,395,3.1443822,275.81085,0.7361042,5.2041903
17286,Musa,35.42302767,0.043341124,0,19.39999962,12.5,41.79999924,622,35.59999847,5.800000191,29.79999924,12.69999981,28.20000076,27.29999924,12.19999981,418,76,1,69.30000305,198,14,18,192,323,2.7073867,286.15665,0.73557425,5.94187
17287,Musa,35.33483652,0.193310228,0,19.10000038,13.30000019,40.90000153,679.4000244,36.90000153,4.5,32.40000153,11.80000019,29.20000076,27.79999924,11.39999962,431,78,1,67,202,17,17,192,470,0.122653686,247.65297,0.70768815,9.6729765
17288,Musa,35.36160507,0.058039675,0,18.5,13.19999981,41.5,676.5,36.20000076,4.300000191,31.89999962,11.30000019,28.60000038,27.20000076,10.89999962,464,82,2,67.09999847,219,20,20,207,616,4.1390057,131.57552,0.6543172,3.319177
17289,Musa,35.35515883,0.125583551,0,19,13.30000019,41.59999847,670.7000122,36.59999847,4.5,32.09999847,11.89999962,28.89999962,27.60000038,11.39999962,439,81,1,68.19999695,209,17,21,198,463,0.25157714,171.35349,0.70459944,7.9931755
17290,Musa,35.39632331,0.077347745,0,18.5,12.89999962,40.90000153,673,35.90000153,4.400000095,31.5,11.30000019,28.5,27.10000038,10.80000019,473,84,1,68.40000153,225,18,18,213,603,3.6891348,267.10562,0.7361475,3.434599
17291,Musa,35.38034093,0.088271876,0,18.70000076,13.10000038,41.40000153,670.7000122,36.20000076,4.5,31.70000076,11.60000038,28.70000076,27.29999924,11.10000038,463,84,1,69,222,17,21,210,538,3.054057,168.9403,0.67484796,4.029421
17292,Musa,35.38429983,-0.027080584,0,19.39999962,12.60000038,42.09999847,622,35.59999847,5.800000191,29.79999924,12.69999981,28.20000076,27.29999924,12.19999981,419,77,1,71.30000305,200,13,15,195,341,2.3470623,242.39575,0.7151711,3.88765
17293,Musa,35.37361091,0.113146217,0,18.89999962,13.30000019,41.59999847,672,36.5,4.400000095,32.09999847,11.69999981,28.89999962,27.5,11.30000019,456,83,1,68.69999695,218,17,21,206,501,1.3625845,168.79585,0.69293356,4.4318023
