,species,latitude,longitude,occurrence,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,slope,aspect,hillshade,twi
11232,Eucalyptus,39.48592811,-2.80445726,0,16.60000038,14.10000038,39.29999924,784.0999756,37.09999847,1.299999952,35.79999924,8.0,28.29999924,26.79999924,7.800000191,430,53,7,43.09999847,148,39,45,143,717,0.503018,142.00052,0.70091796,5.428478
11233,Eucalyptus,39.54953576,-3.450780889,0,16.60000038,13.5,38.09999847,790.9000244,36.90000153,1.399999976,35.5,7.900000095,28.39999962,26.89999962,7.800000191,402,51,7,41.90000153,139,38,45,132,721,0.31660056,307.86035,0.71097296,5.891478
11234,Eucalyptus,39.92905857,-2.522500347,0,15.30000019,13.30000019,39.0,755.5,35.0,0.800000012,34.20000076,7.099999905,26.79999924,25.20000076,7.0,470,55,11,38.59999847,156,52,59,148,879,0.82999015,135.36981,0.69679,5.8439364
11235,Eucalyptus,39.87144039,-2.898903583,0,15.69999981,13.69999981,39.0,769.2999878,35.90000153,0.699999988,35.20000076,10.39999962,27.29999924,25.70000076,7.099999905,453,54,9,40.5,154,46,51,146,836,0.63976663,215.51685,0.70576185,5.8811316
11236,Eucalyptus,39.49803873,-3.014353595,0,16.70000076,13.89999962,38.90000153,791.7999878,37.09999847,1.299999952,35.79999924,8.0,28.39999962,27.0,7.800000191,404,52,7,43.0,143,38,42,136,689,0.27115014,253.3427,0.70868754,6.046449
11237,Eucalyptus,38.0802021,-3.566726763,0,19.39999962,13.80000019,40.29999924,731.5,38.70000076,4.5,34.20000076,11.10000038,30.20000076,28.79999924,11.10000038,379,53,4,52.29999924,148,26,26,141,296,1.4171557,301.02713,0.72386086,5.7788124
11238,Eucalyptus,38.62524961,-3.602492334,0,16.79999924,14.30000019,39.29999924,790.5,37.79999924,1.299999952,36.5,8.0,28.5,27.10000038,8.0,430,56,6,46.09999847,153,34,41,149,744,0.46122748,196.15178,0.7043375,6.7679796
11239,Eucalyptus,38.18631167,-3.760364622,0,18.89999962,13.60000038,39.90000153,738.9000244,38.20000076,4.199999809,34.0,10.60000038,29.70000076,28.39999962,10.60000038,403,56,4,51.40000153,157,28,30,149,414,0.9955704,314.008,0.71928424,4.7457128
11240,Eucalyptus,38.21709955,-3.194591999,0,17.20000076,14.10000038,39.40000153,778.9000244,37.90000153,2.099999905,35.79999924,8.600000381,28.70000076,27.39999962,8.5,413,53,4,47.59999847,148,31,34,145,735,2.7754827,153.56364,0.673819,3.7197669
11241,Eucalyptus,37.75164736,-3.406147566,0,13.60000038,12.5,37.09999847,755.5999756,33.5,-0.200000003,33.70000076,5.599999905,25.0,23.60000038,5.300000191,594,79,7,49.0,216,41,47,213,1456,4.626557,73.14186,0.6779014,3.2073843
11242,Eucalyptus,38.53565504,-3.618068626,0,17.0,14.19999981,39.20000076,785.0,37.79999924,1.600000024,36.20000076,8.399999619,28.60000038,27.20000076,8.199999809,429,56,5,46.59999847,154,33,39,150,716,0.845673,43.445637,0.7073128,8.492443
